,SDSME names,New proposed names,Parameters,Function,Notes
012B,,CheckPartner,Var: Variable,"Stores 1 in Variable if the following event flag is activated, stores 0 otherwise",
012C,,SetPartner,-,"Activates the following event flag, so you can no longer use the bike, surf, rock climb...",
012D,,ClearPartner,-,"Deactivates the following event flag, so you can use the bike, surf, rock climb... again",
012E,,,,,
012F,,,,,
0130,,,,,
0131,,DummyCheckGameCompleted,Var: Variable,"Stores 1 in Variable if flag 0x964 is set, stores 0 otherwise",This flag is not the one that HGSS uses when the player clears the game.
0132,,DummyGameCompleted,-,Sets flag 0x964,This flag is not the one that HGSS uses when the player clears the game.
0133,PrepareDoorAnimation,DoorAnimation,u16: Matrix X; u16: Matrix Y; Flex: Map X; Flex: Map Y; u8: Door ID,"Prepares a building located at Map X and Map Y coordinates in a map located at Matrix X and Matrix Y in the current matrix for animation, with Door ID animation ID",
0134,CloseDoor,WaitDoor,u8: Door ID,Wait animation of building with Door ID animation ID,
0135,MoveDoor,FreeDoor,u8: Door ID,Free animation of building with Door ID animation ID,
0136,OpenDoor,OpenDoor,u8: Door ID,Triggers first animation of building with Door ID animation ID,
0137,WaitDoor,CloseDoor,u8: Door ID,Triggers second animation of building with Door ID animation ID,
0138,,GetDaycareNames,-,"Stores first daycare Pokémon nickname in string buffer 0, the second daycare Pokémon nickname in string buffer 1 and the first Pokémon trainer's name in buffer 2","If there's only one Pokémon in the daycare, string buffer 1 does not change. If no Pokémon is in the daycare, commands does nothing."
0139,,GetDaycareStatus,Var: Variable,"If daycare Pokémon have an egg, stores 1 in Variable. Otherwise it stores 0 if no Pokémon is in the daycare, 2 if only one Pokémon is in the daycare or 3 if there are two Pokémon",
013A,,,,,
013B,,,,,
013C,,,,,
013D,,,,,
013E,,,,,
013F,,,,,
0140,,,,,
0141,VermillionGymAnimation,,,,
0142,VermillionGymBin,,,,
0143,,,,,
0144,,InitVioletGym,-,Initializes Violet Gym internal data and 3D model animations,
0145,,VioletGymElevator,-,Triggers model #111 to move up or down,
0146,,,,,
0147,AzaleaGym,,,,
0148,AzaleaGym2,,,,
0149,,,,,
014A,,,,,
014B,,,,,
014C,CheckPartyNumber,CountPartyPokemon,Var: Variable,Stores in Variable the current number of Pokémon in the party,
014D,,,,,
014E,,,,,
014F,,,,,
0150,,,,,
0151,,,,,
0152,,SetOWDefaultPosition,Flex: Event ID; Flex: X; Flex: Y,Sets Event ID spawn position to global coords X and Y,"Default here means it needs to be applied before the OW is loaded so that it changes it ""permanently"" by using the field context instead of the laoded map object"
0153,SetOverworldPosition,SetOWPosition,Flex: Event ID; Flex: X; Flex: Z; Flex: Y; Flex: Dir,"Moves Event ID to global coords X, Y, Z with Dir direction","Even though some maps are higher, it's often called with a Z (elevation) parameter of 0. Game seems to calculate the correct Z position if it is wrong."
0154,,SetOWDefaultMovement,Flex: Event ID; Flex: Movement ID,Sets Event ID's default move code to Movement ID - Formatted as Move.ID,"Default here means it needs to be applied before the OW is loaded so that it changes it ""permanently"" by using the field context instead of the laoded map object"
0155,,SetOWDefaultDirection,Flex: Event ID; Flex: Direction ID,Sets Event ID's default direction to Direction ID,"Default here means it needs to be applied before the OW is loaded so that it changes it ""permanently"" by using the field context instead of the laoded map object"
0156,,SetWarpPosition,Flex: Warp ID; Flex: X; Flex: Y,Moves Warp ID to global coords X and Y,
0157,,SetSpawnablePosition,Flex: Spawnable ID; Flex: X; Flex: Y,Moves Spawnable ID to global coords X and Y,
0158,,SetOWDirection,Flex: Event ID; Flex: Direction ID,Sets Event ID's current direction to Direction ID,
0159,,,,,
015A,,,,,
015B,,,,,
015C,,WaitTimeOrAB,Flex: Time,Stops script execution until Time frames have passed or until user presses A or B buttons,
015D,ChoosePokemonMenu,,,,
015E,ChoosePokemonMenu2,,,,
015F,StorePokemonMenu,GetSelectedPartySlot,Var: Variable,"Stores in Variable the selected party slot in a party Pokémon screen, or 0xFF is user cancelled the selection",
0160,,,,,
0161,,,,,
0162,StorePokemonNumber,GetPartyPokemonID,Var: Party Position; Var: Variable,Stores in Variable the ID of the Pokémon at Party Position,It will return 0 if Pokémon is an egg.
0163,CheckIfPokemonTraded,CheckTradedPokemon,Var: Party Position; Var: Variable,"Stores 0 in Variable if trainer ID and secret ID of the Pokémon at Party Position are the player's ones, stores 1 otherwise",
0164,,CountPartyBornPokemon,Var: Variable,"Stores in Variable the number of Pokémon in the Pokémon party, excluding the eggs",
0165,,CountAlivePokemonExceptFirst,Var: Variable; Flex: Party Position,Stores in Variable how many alive Pokémon would remain in the Pokémon party if Pokémon at Party Position disappeared,Eggs are excluded from the count.
0166,,CountTotalAlivePokemon,Var: Variable,"Stores in Variable the number of Pokémon in the Pokémon party and PC boxes, excluding the eggs and fainted Pokémon","As Pokémon can't be fainted in the PC boxes, only eggs are not taken into account in the PC boxes count."
0167,,CountPartyEggs,Var: Variable,Stores in Variable the number of eggs in the Pokémon party,
0168,,TakeMoneyFlex,Flex: Money,Subtracts Money from the player's money,
0169,,,,,
016A,,,,,
016B,,,,,
016C,,DeletePartyPokemon,Flex: Party Position,Deletes the Pokémon at Party Position from the party,The Pokémon data is destroyed.
016D,,,,,
016E,,,,,
016F,,,,,
0170,CheckHiroMoneyNumber,CompareMoneyFlex,Var: Variable; Flex: Money,"Returns 1 to Variable if the player has Money or more money, returns 0 otherwise",
0171,,EggHatchScreen,-,Opens the egg hatching screen with an egg in the Pokémon party that has 0 steps left for hatching,This may crash if there's no ready egg in the Pokémon party. It's better not to use this command unless you know what are you doing.
0172,,,,,
0173,,,,,
0174,,,,,
0175,,,,,
0176,,UnvanishOverworld,Flex: Event ID,Makes Event ID visible again if it was invisible,
0177,,VanishOverworld,Flex: Event ID,"Makes Event ID invisible, but still collisionable",It's a great idea to use this command in a level script for blocking doors with invisible events.
0178,OpenMail,MailScreen,-,Opens the mail screen,
0179,CheckMail,CountMail,Var: Variable,Stores in Variable the current amount of mails in the mailbox,
017A,,,,,
017B,,GetTimePeriod,Var: Variable,Stores in Variable the current time period of the day,"The different values are:
0: From 04:00 AM to 09:59 AM (Morning)
1: From 10:00 AM to 04:59 PM (Noon)
2: From 05:00 PM to 07:59 PM (Evening)
3: From 08:00 PM to 11:59 PM (Night)
4: From 00:00 AM to 03:59 AM (Midnight)"
017C,,GetRandom,Var: Variable; Flex: Range,"Generates a random number between 0 and Range - 1, and stores it in Variable",
017D,,DummyGetRandom,Var: Variable; Flex: Range,"Generates a random number between 0 and Range - 1, and stores it in Variable",Exactly the same code as the command above.
017E,,GetPokemonHappiness,Var: Variable; Flex: Party Position,Stores in Variable the happiness of Pokémon in Party Position,
017F,,AddHappiness,Flex: Happiness; Flex: Party Position,Adds Happiness to the happiness of Pokémon in Party Position,
0180,,SubHappiness,Flex: Happiness; Flex: Party Position,Subs Happiness to the happiness of Pokémon in Party Position,
0181,,,,,
0182,,GetPlayerDirection,Var: Variable,Stores in Variable the direction the player is looking at,"Predicted. Seeing up gives 0, seeing down gives 1, seeing left gives 2 and seeing right gives 3."
0183,,,,,
0184,,,,,
0185,,CheckBornPokemonInParty,Flex: Pokémon; Var: Variable,"Stores 1 in Variable if Pokémon is currently in the Pokémon party, stores 0 otherwise","Eggs do not count as Pokémon, so they will be ignored."
0186,,CheckPokemonSizeRecord,Var: Variable; Flex: Party Position,"Stores 0 in Variable if Pokémon at Party Position does not have a bigger relative size than player's record, stores 1 if it's the same size and stores 2 if it has a bigger relative size",
0187,,SetPokemonSizeRecord,Flex: Party Position,Stores the relative size of Pokémon at Party Position as player's record,
0188,ComparePokemonHeight,TextPartyPokemonSize,Flex: Integer String Buffer; Flex: Decimal String Buffer; Flex: Party Position,Stores the integer part of Pokémon at Party Position size in Integer String Buffer (1 to 3 digits) and the decimal part of the size in Decimal String Buffer (1 digit),
0189,CheckPokemonHeight,TextPokemonRecordSize,Flex: Integer String Buffer; Flex: Decimal String Buffer; Flex: Pokémon ID,"Stores the integer part of player's record size, normalized to Pokémon ID range, in Integer String Buffer (1 to 3 digits) and the decimal part of the size in Decimal String Buffer (1 digit)",
018A,ChoosePokemonDelete,,,,
018B,StoreDeleteMove,,,,
018C,CheckMoveNumber,CountPokemonMoves,Var: Variable; Flex: Party Position,Stores in Variable the total amount of moves that the Pokémon at Party Position currently has,
018D,DeleteMove,DeleteMove,Flex: Party Position; Flex: Move Slot,Deletes the move in Move Slot from the Pokémon at Party Position,
018E,,GetPartyPokemonMove,Var: Variable; Flex: Party Position; Flex: Move Slot,Stores in Variable the ID of the move in Move Slot from the Pokémon at Party Position,
018F,SetVariableDeleteMove,TextPartyPokemonMove,u8: String Buffer; Flex: Party Position; Flex: Move Slot,Stores the name of the move in Move Slot from the Pokémon at Party Position in String Buffer,
0190,,Strength,"Command format depends on the first parameter:
u8: 0
u8: 1
u8: 2; Var: Variable","Function depends on the first parameter:
0: Disables Strength so player can no longer move boulders
1: Allows the player to automatically move Strength boulders
2: Checks if Strength is activated, store answer in Variable",
0191,,,"Command format depends on the first parameter:
u8: 0
u8: 1
u8: 2; Var: Variable",???,
0192,,,"Command format depends on the first parameter:
u8: 0
u8: 1
u8: 2; Var: Variable",???,
0193,,,,,
0194,GiveItemStored,,,,
0195,,,,,
0196,,,,,
0197,,,,,
0198,,,,,
0199,,,,,
019A,,,,,
019B,,,,,
019C,,,,,
019D,,,,,
019E,,,,,
019F,,,,,
01A0,,,,,
01A1,,,,,
01A2,,,,,
01A3,,,,,
01A4,,,,,
01A5,,,,,
01A6,,,,,
01A7,,CheckCompleteJohtoDex,Var: Variable,"Stores 1 in Variable if every Pokémon in the Johto Pokédex has been seen, stores 0 otherwise",
01A8,,CheckCompleteNationalDex,Var: Variable,"Stores 1 in Variable if every Pokémon in the National Pokédex has been caught, stores 0 otherwise",
01A9,,,,,
01AA,,,,,
01AB,,,,,
01AC,,,,,
01AD,,CountFossils,Var: Variable,Stores in Variable the current amount of fossils in the bag,Technically it's the number of items in the bag whose ID is between 99 and 105.
01AE,,PreparePokeGearCall,Var: ???; Var: ???; Var: ???,,
01AF,,StartPokeGearCall,-,Starts the PokéGear phone call that was previously set.,
01B0,,CheckFossilPokemon,Var: Variable; Flex: Item ID,Stores in Variable the ID of the Pokémon to which Item ID fossil belongs,
01B1,,CheckFossil,Var: Position; Var: Item ID; Flex: Amount,"Stores in Item ID the ID of the first fossil item in the bag that the player has at least Amount quantity of, and stores in Position the amount of fossils in the bag before the first fossil that met the quantity condition",Stores 0 in both variables if there's no fossil in the bag.
01B2,,CountPokemonUnderLevel,Var: Variable; Flex: Level,Stores in Variable the amount of Pokémon in party whose level is equal or lower than Level,Eggs are completely ignored.
01B3,,SurvivePoison,Var: Variable; Flex: Party Position,"If Pokémon at Party Position is poisoned and at 1 HP, it cures the poison and stores 1 in Variable, otherwise it stores 0",
01B4,,FinishOverworldScreen,-,Terminates map overworld process,
01B5,,DummyGetVar,Var: Variable,Does nothing.,
01B6,,,,,
01B7,,,,,
01B8,,MessageFromArchive,Flex: Text Archive; Flex: Text Slot,Display line Text Slot from Text Archive text file,
01B9,,,,,
01BA,,,,,
01BB,,,,,
01BC,,,,,
01BD,,GetPreviousHeaderID,Var: Variable,Stores in Variable the header ID of the previous accessed map,
01BE,,GetCurrentHeaderID,Var: Variable,Stores in Variable the header ID of the map the player is in,
01BF,,SetSafariFlag,u8: Flag; u8: Mode,"If Flag is 0 safari encounters are activated, if Flag is 1 safari encounters are deactivated, being the own safari encounters if Mode is 0 or using the Safari Zone link if 1",
01C0,,,,,
01C1,,,,,
01C2,,GeonetScreen,-,Opens the Geonet screen,
01C3,,,,,
01C4,,ShowPokemonPic,Flex: Pokémon; Flex: Gender,Opens a window with the picture of Pokémon with Gender gender and registers the Pokémon in the Pokédex as seen,
01C5,,HidePokemonPic,-,Hides the window of a Pokémon picture,
01C6,,,,,
01C7,,,,,
01C8,,,,,
01C9,,,,,
01CA,,,,,
01CB,,,,,
01CC,,,,,
01CD,,,,,
01CE,,,,,
01CF,,,,,
01D0,,AddRoamingPokemon,u8: ID,Activates a roaming Pokemon depending on the ID,"Uses ID to determine which roaming Pokémon must appear: 0 for Entei, 1 for Raikou, 2 for Latias and 3 for Latios."
01D1,,UnionGroup,"Command format depends on the first parameter:
u16: 0; Flex: ID; Var: Variable
u16: 1; Flex: ID; Var: Variable
u16: 2; Flex: ID; Flex: String Buffer
u16: 3; Flex: ID; Flex: String Buffer
u16: 4; Var: Variable
u16: 5; Flex: ID
u16: 6
u16: 7; Var: Variable","Function depends on the first parameter:
0: Checks if group ID exists, returns answer in Variable
1: Checks if group ID is accesible, returns answer in Variable
2: Writes group ID name in String Buffer
3: Writes leader's name of Group ID in String Buffer
4: Opens keyboard, stores 1 in Variable if user cancels, 2 if group name already exists, 0 otherwise
5: Enter in group ID
6: Creates a group
7: ???",This command is the devil.
01D2,,,,,
01D3,ChoosePokemonRem,,,,
01D4,,,,,
01D5,StoreMoveRem,,,,
01D6,,InitTrade,u8: Trade ID,Initializes Trade ID trade data,
01D7,,GetOfferedPokemon,Var: Variable,Stores in Variable the ID of the offered Pokémon of the current trade data,
01D8,CheckPokemonTrade,GetRequestedPokemon,Var: Variable,Stores in Variable the ID of the requested Pokémon of the current trade data,
01D9,TradeChosenPokemon,TradePokemonScreen,Flex: Party Position,"Opens the trade Pokémon screen, giving the Pokémon at Party Position and receiving the offered Pokémon of the current trade data",
01DA,StopTrade,EndTrade,-,Frees the current trade data from the memory,
01DB,,DummyInternationalDex,-,Nothing,
01DC,,DummyDimorphismDex,-,Nothing,"In fact it does activate a dimorphism flag in the Pokédex data, but since the HGSS Pokédex has the gender comparision by default, command's actual purpose is not noticeable."
01DD,,NationalDex,"Command format depends on the first parameter:
u8: 1; Var: Unused
u8: 2; Var: Variable","Function depends on the first parameter:
1: Activates the National Pokédex mode
2: Stores 1 in Variable if player has the National Pokédex, otherwise it stores 0",
01DE,,CountPokemonRibbons,Var: Variable; Flex: Party Position,Stores in Variable the amount of ribbons that the Pokémon in Party Position has,
01DF,,CountPartyRibbons,Var: Variable,Stores in Variable the total amount of different ribbons in the current Pokémon party,
01E0,CheckRibbon,CheckRibbon,Var: Variable; Flex: Party Position; Flex: Ribbon,"Stores 1 in Variable if the Pokémon in Party Position has the Ribbon ribbon, stores 0 otherwise",
01E1,GiveRibbon,GiveRibbon,Flex: Party Position; Flex: Ribbon,Gives the Ribbon ribbon to Pokémon in Party Position,
01E2,,TextRibbon,u8: String Buffer; Flex: Ribbon,Stores the name of the Ribbon in String Buffer,
01E3,CheckPokemonRibbon,CountPokemonEVs,Var: Variable; Flex: Party Position,Stores in Variable the total amount of effort values of Pokémon in Party Position,Predicted.
01E4,,GetDayOfWeek,Var: Variable,Stores in Variable the current day of the week,Value 0 is the first possible value and it's for Sunday.
01E5,,ShowRulesList,Var: Variable,???,
01E6,RBattleRecorder,DummyGetPokemonFootprint,-,Nothing,
01E7,,PCHealAnimation,Flex: PokéBalls,Triggers the Pokémon Center healing animation with PokéBalls number of player's Pokémon,
01E8,,ElevatorAnimation,Flex: Direction; Flex: Count,Triggers the animation of building #208 up (if Direction is 0) or down (if Direction is 1) Count consecutive times,
01E9,,MysteryGiftGive,"Command format depends on the first parameter:
u16: 0
u16: 1; Var: Variable
u16: 2; Var: Variable
u16: 3; Var: Variable
u16: 4
u16: 5; Var: Text File; Var: Text Line
u16: 6; Var: Text File; Var: Text Line
u16: 7
u16: 8","Function depends on the first parameter:
0: Initializes the data for receiving a Mystery Gift
1: Checks if there is a Mystery Gift, stores answer in Variable
2: Stores the Mystery Gift ID in Variable
3: Checks if player can receive the Mystery Gift, stores answer in Variable
4: Gives the Mystery Gift to the player
5: Shows the succeed text at Text File file and Text Line slot
6: Shows the unable text at Text File file and Text Line slot
7: Ends the Mystery Gift process
8: Saves data and ends the Mystery Gift process",This one too.
01EA,,,,,
01EB,,,,,
01EC,,,,,
01ED,,,,,
01EE,,,,,
01EF,CheckVersion,CheckVersion,Var: Variable,"Returns 0x7 to Variable if game is HeartGold, 0x8 if SoulSilver",
01F0,,FirstPokemonInParty,Var: Variable,Stores in Variable the slot of the first Pokémon in the party that is not an egg,
01F1,,GetPartyPokemonTypes ,Var: Type1; Var: Type2; Flex: Party Slot,Gets the types of the Pokémon at a given Party Slot and stores them in Type1 and Type2 respectively.,The value of Type1 and Type2 will be the same if the selected Pokémon doesn't have two types.
01F2,,,,,
01F3,,,,,
01F4,,,,,
01F5,,,,,
01F6,,,,,
01F7,,GetLottoNumber,Var: Variable,Stores Lotto random number in Variable,Supposed by analogy with Platinum.
01F8,,CheckWinLotto,Var: MatchPos; Var: Digits; Var: PC; Flex: Winning Number,"Takes a Winning Number as input and responds as follows.
If no matching Pokémon could be found or an error occurs: 
MatchPos: 0; Digits: 0; PC: 0.

For all other cases:

If the matching Pokémon is in the Player's party, PC will be assigned 0.
Otherwise, if it's in the Player's Storage System, PC will be assigned 1.

MatchPos stores the zero-based position of the winning Pokémon (either as Party pos or Storage System pos, depending on the value of PC).

When there's a match, the Digits var is assigned the number of matching digits of the Winning Pokémon's PID.
In case of multiple matches, priority is always given to the one with the most matching digits.","Supposed by analogy with Platinum.

To retrieve the exact position of a winning Pokémon in the Storage System, first make sure PC equals 1. 

The zero-based PC Page and Position indices can be calculated:

PC Page index = MatchPos / 30
Position in page = MatchPos % 30

where % is the modulo operator."
01F9,,InitLotto,-,Generates two random numbers and assigns them to two system lottery variables.,Supposed by analogy with Platinum.
01FA,,,,,
01FB,CheckBoxesNumber,CountPCFreeSpace,Var: Variable,Stores in Variable the amount of free Pokémon slots in PC boxes,
01FC,,,,,
01FD,,,,,
01FE,,,,,
01FF,StoreFriendParkResult,,,,
0200,,,,,
0201,,,,,
0202,,,,,
0203,,,,,
0204,,TextAccessory,u8: String Buffer; Flex: Accesory,Stores Accesory's name in String Buffer,
0205,,CheckPokemonInParty,Flex: Pokémon; Var: Variable,"Stores 1 in Variable if Pokémon (or its egg) is currently in the Pokémon party, stores 0 otherwise",
0206,,SetDeoxysForm,Flex: Form,Sets every Deoxys in the Pokémon party the Form form,"Form 0 is Normal, form 1 is Attack, form 2 is Defense and form 3 is Speed."
0207,,CheckBurmyForms,Var: Variable,Stores in Variable the number of current different Burmy forms in the Pokémon party,"Returns 0 if player has no Burmy in the party, 1 if only one different form, 2 if two different forms and 3 if has three or more Burmy with three different forms."
0208,,,-,???,Sets a internal flag.
0209,,,-,???,Resets a internal flag.
020A,,GetHour,Var: Variable,Stores current hour from RTC in Variable,
020B,,ShakeOverworld,Flex: Event ID; Flex: Count; Flex: Time; Flex: X; Flex: Y,"Makes Event ID overworld shake Count times in Time frames, moving X horizontally and Y vertically each shake",Event ID must be released before this command in order to see the animation.
020C,,BlinkOverworld,Flex: ???; Flex: ???; Flex: ???; Flex: ???; Flex: ???,???,
020D,,CheckRegis,Var: Variable,"Stores 1 in Variable if player has the 3 Regis in the party, stores 0 otherwise",
020E,,,,,
020F,,MessageUnown,u16: Text Slot,Display line Text Slot from the text file with the Unown font,Predicted.
0210,,CheckGBACartidge,Var: Variable,Stores the current GBA cartridge ID in Variable,"Stores 0 if no cartridge, 1 if Pokémon Sapphire, 2 if Pokémon Ruby, 3 if Pokémon Emerald, 4 if Pokémon FireRed and 5 if Pokémon LeafGreen. Somehow it could also set 7 if Pokémon Gold, 8 if Pokémon Silver, 10 if Pokémon Diamond, 11 if Pokémon Pearl, 12 if Pokémon Platinum and 15 if Pokémon Colosseum."
0211,,GetFirstAlivePokemonSlot,Var: Variable,Stores in Variable the slot of the first Pokémon in the party that is not an egg nor is fainted,Predicted.
0212,,SetMatrixAlternativeMap,Flex: Alternative ID; u8: Status,"Permanently changes a worldmap matrix cell corresponding to Alternative ID if Status is 1, reverts the change if 0","It only changes the map file value in the matrix, not the map header nor the map height. Seems that the only Alternative ID available values are 0 and 1, corresponding to Mahogany Town and to the Lake of Rage."
0213,,,,,
0214,,,,,
0215,,,,,
0216,,,,,
0217,,GetPokemonLevel,Var: Result; Flex: Party Slot,Stores into Result the level of the Pokémon at a given Party Slot.,
0218,,,,,
0219,,,,,
021A,,,,,
021B,,,,,
021C,,,,,
021D,,TextNumberSp,u8: String Buffer; Flex: Number; u8: Alignment Type; u8: Digits,Stores a Number in String Buffer with Alignment Type alignment and Digits length,"Predicted. Alignment Type 0 is left-alignment, 1 is right alignment padded with spaces and 2 is right alignment padded with zeros. Digits is used only in these last two types."
021E,,,,,
021F,,CheckBirthday,Var: Variable,"Stores 1 in Variable if the current day is the player's birthday, stores 0 otherwise",
0220,,MusicVolumeSet,Flex: Music ID; Flex: Volume,Identifies the BGM Player which is playing Music ID and sets its Volume,
0221,,CountSeenUnown,Var: Variable,Stores in Variable the number of different seen Unown forms,
0222,,,,,
0223,,,,,
0224,,,,,
0225,,,,,
0226,,,,,
0227,,,,,
0228,,,,,
0229,,,,,
022A,,,,,
022B,,,,,
022C,,,,,
022D,,,,,
022E,,,,,
022F,,,,,
0230,,,Flex: ???; Var: ???,,
0231,,ShakeCamera,Flex: X Magnitude; Flex: Y Magnitude; Flex: Count; Flex: Time,"Shakes the screen vertically and/or horizontally, moving the camera X Magnitude pixels horizontally and Y Magnitude pixels vertically in each shake, with Count total shakes of Time frames each one","Don't abuse this command, as it seems that camera might end up 1 pixel up or down in each animation, especially when Count is an odd number."
0232,,Battle2vs2,Flex: Partner Trainer ID; Flex: Trainer 1 ID; Flex: Trainer 2 ID; u8: ???,Starts a double battle with Partner Trainer ID versus Trainer 1 ID and Trainer 2 ID,Last parameter seems to always be 0x1.
0233,,,,,
0234,,,,,
0235,,,Var: ???,???,
0236,ChoosePokemonMenuTrade,PartyPokemonTradeScreen,-,Opens the party Pokémon screen for a trade,
0237,,,,,
0238,,,,,
0239,,,,,
023A,,,,,
023B,,,,,
023C,,,,,
023D,,,,,
023E,,,,,
023F,,,,,
0240,,,,,
0241,,,,,
0242,,,,,
0243,,,,,
0244,,,,,
0245,,,,,
0246,,,,,
0247,,,,,
0248,,,,,
0249,,,,,
024A,,,,,
024B,,,-,???,
024C,,,,,
024D,LegendaryBattle,WildBattleSp,Flex: Pokémon; Flex: Level; u8: Shiny Flag,"Starts a wild battle against a Pokémon of level Level, and shiny if Shiny Flag is 1",
024E,,CheckTrainerCardLevel,Var: Variable,Stores in Variable the current trainer card level,
024F,,DummyRideBike,-,Nothing,Seems to allocate the bike music in the RAM but doesn't play it.
0250,,,,,
0251,,ShowSaveBox,-,"Displays the save data box (current map name, player's name, the amount of badges, the Pokédex counter and the play time)",
0252,,HideSaveBox,-,Hides the save data box,
0253,,ScopeMode,u8: Mode,"If Mode is 1, activates the scope mode, otherwise the command deactivates the scope mode","The scope mode prevents the game to do certain actions (like reseting system flags) when changing map, and probably it's related with more things."
0254,,GetFollowingPokeSize,Var: Variable,"Stores 0 in Variable if the current following Pokémon is small and can follow the player indoors, stores 1 if it's big and can't follow the player indoors","In fact it returns the second byte of the following Pokémon data files, stored in a/1/4/1.narc, which is the one that the game reads for allowing Pokémon entering in buildings. This command will work even if a SendBackFollowingPoke is used and the following Pokémon is hidden at that moment."
0255,,,-,???,Draws a heart icon above the following Pokémon. Maybe a dummy command?
0256,,,u16: ???,???,"Parameter must be 1 or 2, otherwise command won't do anything. Seems to trigger a default movement for switching current player's and following Pokémon positions (for example, when using a HM)."
0257,,FollowingPokePCAnimation,-,Triggers the animation of sending the current following Pokémon back to its PokéBall over the Pokémon Center healing counter,
0258,StartFriendPark,SendBackFollowingPoke,-,Triggers the animation of sending the current following Pokémon back to its PokéBall and deactivates the following Pokémon until the game is reset or a warp is used,
0259,,FollowingPokeFacePlayer,-,"Makes the invoking event look at the player, but with a size limitation","When the following Pokemon has a big size, it won't turn to the player if there is an overworld on the opposite side so it would collide. The checked flag is the second byte of the Parameter 1 field, which could be called ""double size overworlds"" flag, as it is also used for drawing two grass patches in the tall grass for the following Pokemon."
025A,,LockFollowingPoke,u16: Operation,"Releases the following Pokemon animation if Operation is 0, locks the animation otherwise",Predicted comparing ASM with Lock and Release commands.
025B,,WaitFollowingPoke,-,Waits the following Pokemon to end its last movement,Predicted comparing ASM with Lock and Release commands.
025C,,SetFollowingPokeMovement,u16: Move Code,Changes the following Pokemon default movement to Move Code,The most important movement IDs are 0x30 and 0x38 (following and ghost-following behaviours respectively).
025D,,SetFollowingPokePosition,u8: Position; u8: Direction,Moves the following Pokémon to one tile Position next to player and facing at Direction,"For both parameters, up is 0, down is 1, left is 2 and right is 3."
025E,EndFriendPark,BallResetFollowingPoke,-,"Moves the following Pokémon to the current player's position, and triggers the animation of sending the Pokémon out of its PokéBall after the player walks a step","This is commonly used after a different event following the player, so the player sends out the following Pokémon in the next step (instead of forcing it automatically with SendOutFollowingPoke)."
025F,,NoBallResetFollowingPoke,-,Moves the following Pokémon to the current player's position,"Almost same as BallResetFollowingPoke, but without the PokéBall animation (exactly like when a small Pokémon spawns after the player uses a warp)."
0260,,SendOutFollowingPoke,-,Triggers the animation of sending the first non-fainted Pokémon out of its PokéBall and spawns it on the last player position,Seems to be needed for refreshing/forcing its apparition after a Warp on the same map.
0261,MecScript,,-,???,"It's used in a lot of scripts that involve following Pokémon movements, placed at the top of them. Seems that it resets a lot of following Pokémon movement parameters and data."
0262,,,,,
0263,,,,,
0264,,,,,
0265,,,,,
0266,,,,,
0267,MakePhoto,,,,
0268,,,,,
0269,,,,,
026A,CheckAlbumPhoto,,,,
026B,,,,,
026C,,,,,
026D,,,,,
026E,,GetOWDirection,u16: Event ID; Var: Variable,Stores in Variable the current direction which Event ID is facing,"Up is 0, Down is 1, Left is 2 and Right is 3."
026F,,HarvestApricorn,Var: Variable,"If the invoking OW is a fully-grown Apricorn tree (has an entry ID between 263 and 269), it stores 1 in Variable and triggers the harvesting animation. The invoking OW entry ID is set to 262.

In every other case (including when entry ID is 262), stores 0 in Variable and does nothing.","The entry ID is not necessarily the one that is defined in the Event file, but rather what is actually visible/present at the time of interaction."
0270,,GetApricornColor,Var: Variable,"Stores value 0-6 in Variable, which represents the Apricorn color, hardcoded based on tree ID.
The correct color is returned regardless of whether the apricorn is available to harvest or not.
","Color codes:
Red = 0
Yellow = 1
Blue = 2
Green = 3
Pink = 4
White = 5
Black = 6

The color assigned to each tree can be changed by accessing arm9.bin at offset 0xF6784 in HeartGold USA (31 bytes, one per tree).
N.B.: Color codes are offset by +1 in the arm9 table (Red is 1)."
0271,,GiveApricorn,Flex: Color; Flex: Number; Var: Variable,"Attempts to add the specified Number of Apricorns of a given Color to the player's inventory. 
Stores 1 in Variable if successful, or 0 if failed (couldn't exceed 99 Apricorns).",
0272,,TextApricorn,u8: String Buffer; Flex: Color,Stores the name of a colored Apricorn in String Buffer.,"If a Color value of 7 or greater is passed, it will be changed to 0 internally."
0273,,,,,
0274,,,,,
0275,,,,,
0276,,,,,
0277,,,,,
0278,,,,,
0279,,,,,
027A,,,,,
027B,,,,,
027C,,,,,
027D,,,,,
027E,,,,,
027F,,,,,
0280,,,,,
0281,,,,,
0282,,,Var: Variable,???,
0283,,,,,
0284,,,,,
0285,,,,,
0286,,,,,
0287,,,,,
0288,,,,,
0289,,ScratchOffScreen,-,Loads and displays Scratch-off card interface.,"This command allocates resources to open an app.
See: ReleaseScriptApp."
028A,,ReleaseScriptApp,-,Releases resources that were previously allocated by a script command that runs an app.,Used after Scratch-off app.
028B,,,,,
028C,,,,,
028D,,,,,
028E,,,,,
028F,,,,,
0290,,CheckHeadbuttCompatibility,Flex: Party Slot; Var: Variable,Stores 1 into Variable if the Pokémon at the given Party Slot can learn Headbutt.,"Ilex Forest Tutor: Script File 92, Script 3"
0291,,,,,
0292,,,,,
0293,,,,,
0294,,,,,
0295,,,,,
0296,,,,,
0297,,,,,
0298,,,,,
0299,,,,,
029A,,,,,
029B,,,,,
029C,,,,,
